Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000116077702547958,-0.0350031160113934,0.298943810669157,0,0,0,1.62729864470768,0.0137353090510687,-4.11285058496082E-08,1.57498050968941E-05,0.0137353221285065,-1.84515507660723E-05,0.0208011355000509,0,0,0,0,0,0,package://mobile_base/meshes/base_link.STL,0.615686274509804,0.811764705882353,0.925490196078431,1,0,0,0,0,0,0,package://mobile_base/meshes/base_link.STL,,base-1;코너모듈-5/LIFT-1;코너모듈-2/LIFT-1;코너모듈-4/LIFT-1;코너모듈-3/LIFT-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
f_l_prismatic,-1.66533453693773E-16,2.22044604925031E-16,-0.00277737910243356,0,0,0,0.196349540849362,0.000194304233132182,2.27474668452083E-23,2.60457184732572E-20,0.000194304233132182,-2.19699170694084E-21,6.13592315154258E-05,0,0,0,0,0,0,package://mobile_base/meshes/f_l_prismatic.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_l_prismatic.STL,,코너모듈-2/rotational joint.step-1,좌표계9,f_l,f_l_prismatic_joint,prismatic,0.2998,-0.33482,0.24287,0.0026114,0.002229,0,base_link,0,0,1,0,0,0.01,0.07,,,,,,,,
f_1_rotate,-0.000108967571125163,-0.0488863047415668,-0.000127660035035393,0,0,0,0.224794249588269,0.00035992095175223,-1.5977978468922E-07,1.90489917252884E-08,0.000288262815233361,-5.60717068152241E-07,0.000502966479907257,0,0,0,0,0,0,package://mobile_base/meshes/f_1_rotate.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_1_rotate.STL,,코너모듈-2/Part Studio 1.step-1,f_l_rotate_frame,f_l,f_1_rotate_joint,revolute,0,0,-0.0527773791024335,1.56818496671092,-0.00222898866464819,0,f_l_prismatic,0.00222898681890077,0.999994106215458,0.00261135062896505,0,0,-1.5708,1.5708,,,,,,,,
f_l_ew,0,0,0,0,0,0,0.674225752480555,0.00130925410106877,3.2487492708626E-20,9.67073397747996E-20,0.00130925410106877,-2.32852318727934E-21,0.00228927103415126,0,0,0,0,0,0,package://mobile_base/meshes/f_l_ew.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_l_ew.STL,,코너모듈-2/wheel.step-1,f_l_ew_frame,f_l_ew_rotate_axis,f_l_ew_rotate,continuous,-0.000222898681890127,-0.0999994106215459,-0.000261135062896545,3.13936402790797,-1.57065442321589,0,f_1_rotate,0,0,1,,,,,,,,,,,,
f_r_prismatic,-1.11022302462516E-16,1.11022302462516E-16,-0.0027773791024335,0,0,0,0.196349540849362,0.000194304233132182,2.27474668452083E-23,2.60457184732572E-20,0.000194304233132182,-2.19699170694084E-21,6.13592315154258E-05,0,0,0,0,0,0,package://mobile_base/meshes/f_r_prismatic.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_r_prismatic.STL,,코너모듈-5/rotational joint.step-1,좌표계7,f_r,f_r_prismatic_joint,prismatic,-0.3002,-0.3349,0.24421,0.0026114,0.002229,0,base_link,0,0,1,0,0,0.01,0.07,,,,,,,,
f_r_rotate,-0.000108967571125163,-0.0488863047415668,-0.000127660035035393,0,0,0,0.224794249588269,0.00035992095175223,-1.59779784689221E-07,1.90489917252884E-08,0.000288262815233361,-5.60717068152241E-07,0.000502966479907257,0,0,0,0,0,0,package://mobile_base/meshes/f_r_rotate.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_r_rotate.STL,,코너모듈-5/Part Studio 1.step-1,f_r_rotate_frame,f_r,f_r_rotate_joint,revolute,0,0,-0.0527773791024335,1.56818496671092,-0.00222898866464819,0,f_r_prismatic,0.00222898681890077,0.999994106215458,0.00261135062896505,0,0,-1.5708,1.5708,,,,,,,,
f_r_ew,5.55111512312578E-17,0,0,0,0,0,0.674225752480555,0.00130925410106877,-3.2880093306859E-20,-9.69190980116131E-20,0.00130925410106877,-4.86964987898763E-21,0.00228927103415126,0,0,0,0,0,0,package://mobile_base/meshes/f_r_ew.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/f_r_ew.STL,,코너모듈-5/wheel.step-1,f_r_ew_frame,f_r_ew_rotate_axis,f_r_ew_joint,continuous,-0.000222898681890127,-0.0999994106215459,-0.000261135062896545,-0.00222862568182399,-1.57065442321589,0,f_r_rotate,0,0,1,,,,,,,,,,,,
r_r_prismatic,-5.55111512312578E-17,1.11022302462516E-16,-0.00277737910243359,0,0,0,0.196349540849362,0.000194304233132181,2.83309359799412E-23,2.60721654326907E-20,0.000194304233132181,-7.84828965190313E-21,6.13592315154257E-05,0,0,0,0,0,0,package://mobile_base/meshes/r_r_prismatic.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/r_r_prismatic.STL,,코너모듈-4/rotational joint.step-1,좌표계11,r_r,r_r_prismatic_joint,prismatic,-0.30028,0.2651,0.24578,0.0026114,0.002229,0,base_link,0,0,1,0,0,0.01,0.07,,,,,,,,
r_r_rotate,-0.000108967571125107,-0.0488863047415668,-0.000127660035035393,0,0,0,0.224794249588269,0.00035992095175223,-1.59779784689386E-07,1.90489917252236E-08,0.000288262815233361,-5.60717068152209E-07,0.000502966479907257,0,0,0,0,0,0,package://mobile_base/meshes/r_r_rotate.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/r_r_rotate.STL,,코너모듈-4/Part Studio 1.step-1,r_r_rotate_frame,r_r,r_r_rotate_joint,revolute,0,0,-0.0527773791024335,1.56818496671092,-0.00222898866464819,0,r_r_prismatic,0.00222898681890077,0.999994106215458,0.00261135062896505,0,0,-1.5708,1.5708,,,,,,,,
r_r_ew,0,0,0,0,0,0,0.674225752480555,0.00130925410106877,-9.15753561581557E-21,-7.05684324181239E-20,0.00130925410106877,-3.17390497923925E-21,0.00228927103415126,0,0,0,0,0,0,package://mobile_base/meshes/r_r_ew.STL,0.615686274509804,0.811764705882353,0.929411764705882,1,0,0,0,0,0,0,package://mobile_base/meshes/r_r_ew.STL,,코너모듈-4/wheel.step-1,r_r_ew_frame,r_r_ew_rotate_axis,r_r_ew_joint,continuous,-0.000222898681890127,-0.0999994106215459,-0.000261135062896489,-0.00222862568182399,-1.57065442321589,0,r_r_rotate,0,0,1,,,,,,,,,,,,
